"Product ID","Product Name","Current Price","Original Price","Discount","Stock Status","Sizes","URL","Event Type","Timestamp","Image","Category","Variants"
"113065767","John Lewis Liliana Leather Square Toe Roman Fisherman Sandals","25.50","85.00","70.00","In Stock","5, 8","https://www.johnlewis.com/john-lewis-liliana-leather-square-toe-roman-fisherman-sandals/p113065767","New","2025-09-14 17:47:38","https://media.johnlewiscontent.com/i/JohnLewis/009208694","John Lewis Branded","Chocolateselected, Off White"
"112868739","John Lewis Mali Leather T-Bar Block Heel Casual Sandals","26.70","89.00","70.00","In Stock","3","https://www.johnlewis.com/john-lewis-mali-leather-t-bar-block-heel-casual-sandals/p112868739","New","2025-09-14 17:48:00","https://media.johnlewiscontent.com/i/JohnLewis/009195701","John Lewis Branded","None"
"1437846","John Lewis Grey Curtain Rings, 35mm, Set of 6","3.60","12.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-grey-curtain-rings-35mm-set-of-6/p1437846","New","2025-09-14 17:48:11","https://media.johnlewiscontent.com/i/JohnLewis/233528369","John Lewis Branded","None"
"111755438","John Lewis Holly Stem, Silver","2.70","9.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-holly-stem-silver/p111755438","New","2025-09-14 17:48:26","https://media.johnlewiscontent.com/i/JohnLewis/111735085","John Lewis Branded","None"
"111647646","John Lewis Matt Black Toilet Roll Holder","6.00","20.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-matt-black-toilet-roll-holder/p111647646","New","2025-09-14 17:48:29","https://media.johnlewiscontent.com/i/JohnLewis/111546352","John Lewis Branded","None"
"113085357","John Lewis Linen Cotton Blend Scarf, Pink/Multi","11.70","39.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-linen-cotton-blend-scarf-pink-multi/p113085357","New","2025-09-14 17:48:31","https://media.johnlewiscontent.com/i/JohnLewis/112825900","John Lewis Branded","None"
"110377275","John Lewis Plain Leather Keyring Cover","4.50","15.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-plain-leather-keyring-cover/p110377275","New","2025-09-14 17:48:44","https://media.johnlewiscontent.com/i/JohnLewis/110365778","John Lewis Branded","None"
"111662910","John Lewis Cotton Stripe Unisex Bathrobe","21.00","70.00","70.00","In Stock","XS-S","https://www.johnlewis.com/john-lewis-cotton-stripe-unisex-bathrobe/p111662910","New","2025-09-14 17:48:49","https://media.johnlewiscontent.com/i/JohnLewis/008289629","John Lewis Branded","Greenselected, Neutral"
"4897687","John Lewis Basket Weave Pair Blackout/Thermal Lined Eyelet Curtains","36.00","120.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-basket-weave-pair-blackout-thermal-lined-eyelet-curtains/p4897687","New","2025-09-14 17:49:17","https://media.johnlewiscontent.com/i/JohnLewis/238585253alt10","John Lewis Branded","Greyselected, Blue Grey, Mocha"
"112350016","John Lewis Fluffy Knit Wool Blend Plain Scarf","13.50","45.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-fluffy-knit-wool-blend-plain-scarf/p112350016","New","2025-09-14 17:49:31","https://media.johnlewiscontent.com/i/JohnLewis/111865498","John Lewis Branded","None"
"112504742","John Lewis Plush Chick Bag","2.10","7.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-plush-chick-bag/p112504742","New","2025-09-14 17:49:40","https://media.johnlewiscontent.com/i/JohnLewis/112475253","John Lewis Branded","None"
"111143848","John Lewis Raffia Gift Twines, Pack of 11, Multi","3.00","10.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-raffia-gift-twines-pack-of-11-multi/p111143848","New","2025-09-14 17:49:46","https://media.johnlewiscontent.com/i/JohnLewis/110964612","John Lewis Branded","None"
"111755442","John Lewis Mistletoe Stem","1.80","6.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-mistletoe-stem/p111755442","New","2025-09-14 17:49:49","https://media.johnlewiscontent.com/i/JohnLewis/111735093","John Lewis Branded","None"
"112504740","John Lewis Felt Sheep Bag, White","1.20","4.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-felt-sheep-bag-white/p112504740","New","2025-09-14 17:49:52","https://media.johnlewiscontent.com/i/JohnLewis/112475251","John Lewis Branded","None"
"113012966","John Lewis Agatha Woven Fascinator","16.50","55.00","70.00","In Stock","One Size","https://www.johnlewis.com/john-lewis-agatha-woven-fascinator/p113012966","New","2025-09-14 17:50:01","https://media.johnlewiscontent.com/i/JohnLewis/112628527","John Lewis Branded","Pink, Light Blueselected"
